日付,曜日,日種類,商品名,数値
12-23-2025,火,平日,日経平均始値,50374.48
12-23-2025,火,平日,日経平均高値,50544.56
12-23-2025,火,平日,日経平均安値,50264.42
12-23-2025,火,平日,日経平均終値,50412.87
12-23-2025,火,平日,日経平均始値時刻,0.375
12-23-2025,火,平日,日経平均高値時刻,0.3847222222
12-23-2025,火,平日,日経平均安値時刻,0.5951388889
12-23-2025,火,平日,CME日経225先物円建(明朝）,50560
12-23-2025,火,平日,TOPIX始値,3415.79
12-23-2025,火,平日,TOPIX高値,3422.54
12-23-2025,火,平日,TOPIX安値,3402.62
12-23-2025,火,平日,TOPIX終値,3405.17
12-23-2025,火,平日,東証prime,1753.81
12-23-2025,火,平日,東証standard,1519.04
12-23-2025,火,平日,東証growth,859.43
12-23-2025,火,平日,東証大型,3353.41
12-23-2025,火,平日,東証中型,3618.87
12-23-2025,火,平日,東証小型,5755.7
12-23-2025,火,平日,グロース250,654.66
12-23-2025,火,平日,topixcore30,1767.75
12-23-2025,火,平日,topixlarge70,3414.02
12-23-2025,火,平日,topixmid400,3439.15
12-23-2025,火,平日,topixsmall,3898.73
12-23-2025,火,平日,topixvalue,4221.33
12-23-2025,火,平日,topix500value,4096.47
12-23-2025,火,平日,topixsmallvalue,5629.33
12-23-2025,火,平日,topixgrowth,3886.13
12-23-2025,火,平日,topix500growth,3907.13
12-23-2025,火,平日,topixsmallgrowth,3712.06
12-23-2025,火,平日,日経内需50,34875.99
12-23-2025,火,平日,日経外需50,45741.61
12-23-2025,火,平日,日経半導体株指数,12975.78
12-23-2025,火,平日,日経配当指数,742.09
12-23-2025,火,平日,日経予想配当指数,742.09
12-23-2025,火,平日,日経VI,22.3
12-23-2025,火,平日,プットコールレシオ（建玉P/C）,2.339
12-23-2025,火,平日,プットコールレシオ（取引量P/C）,2.215
12-23-2025,火,平日,読売株価指数,43486.08
12-23-2025,火,平日,東証普通株時価総額（兆円）,1206.5234
12-23-2025,火,平日,225時価総額（兆円）,869.44
12-23-2025,火,平日,プライム時価総額（兆円）,1157.249768
12-23-2025,火,平日,スタンダード時価総額（兆円）,32.450824
12-23-2025,火,平日,グロース時価総額（兆円）,8.654287
12-23-2025,火,平日,225時価総額比率/全市場,72.55%
12-23-2025,火,平日,プライム時価総額比率/全市場,96.57%
12-23-2025,火,平日,225売買代金（兆円）,2.72
12-23-2025,火,平日,プライム売買代金（兆円）,4.137464
12-23-2025,火,平日,スタンダード売買代金（兆円）,0.160693
12-23-2025,火,平日,グロース売買代金（兆円）,0.161864
12-23-2025,火,平日,225売買代金比率/全市場,60.99%
12-23-2025,火,平日,プライム売買代金比率/全市場,92.77%
12-23-2025,火,平日,日経PBR,1.7
12-23-2025,火,平日,プライムPBR,1.6
12-23-2025,火,平日,スタンダードPBR,1.12
12-23-2025,火,平日,グロースPBR,3.37
12-23-2025,火,平日,日経平均PER予想,19.08
12-23-2025,火,平日,プライムPER予想,18.22
12-23-2025,火,平日,スタンダードPER予想,15.07
12-23-2025,火,平日,グロースPER予想,34.31
12-23-2025,火,平日,日経配当利回り前期,1.71
12-23-2025,火,平日,日経配当利回り予想,1.84
12-23-2025,火,平日,プライム配当前期,2.18
12-23-2025,火,平日,プライム配当予想,2.36
12-23-2025,火,平日,プライム株式益利回り前期基準,5.52
12-23-2025,火,平日,プライム株式益利回り予想,5.48
12-23-2025,火,平日,先導株比率1～3位,37.34%
12-23-2025,火,平日,先導株比率10位,66.11%
12-23-2025,火,平日,先導株比率20位,83.39%
12-23-2025,火,平日,先導株比率30位,94.22%
12-23-2025,火,平日,先導株比率40位,101.49%
12-23-2025,火,平日,先導株比率50位,106.92%
12-23-2025,火,平日,225値上がり銘柄数,162
12-23-2025,火,平日,225値下がり銘柄数,62
12-23-2025,火,平日,225商い成立銘柄数,225
12-23-2025,火,平日,225値上がり率,72.00%
12-23-2025,火,平日,プライム値上がり銘柄数,1217
12-23-2025,火,平日,プライム値下がり銘柄数,345
12-23-2025,火,平日,プライム商い成立銘柄数,1605
12-23-2025,火,平日,プライム値上がり率,75.83%
12-23-2025,火,平日,スタンダード値上がり銘柄数,941
12-23-2025,火,平日,スタンダード値下がり銘柄数,457
12-23-2025,火,平日,スタンダード商い成立銘柄数,1545
12-23-2025,火,平日,スタンダード値上がり率,60.91%
12-23-2025,火,平日,グロース値上がり銘柄数,368
12-23-2025,火,平日,グロース値下がり銘柄数,203
12-23-2025,火,平日,グロース商い成立銘柄数,612
12-23-2025,火,平日,グロース値上がり率,60.13%
12-23-2025,火,平日,プライム年初来高値銘柄数,139
12-23-2025,火,平日,プライム年初来安値銘柄数,7
12-23-2025,火,平日,スタンダード年初来高値銘柄数,75
12-23-2025,火,平日,スタンダード年初来安値銘柄数,9
12-23-2025,火,平日,東証REIT,1998.63
12-23-2025,火,平日,東証オフィスREIT,1964.47
12-23-2025,火,平日,東証住宅REIT,3182.16
12-23-2025,火,平日,東証商業物流REIT,2425.4
12-23-2025,火,平日,t17食品,421.85
12-23-2025,火,平日,t17エネルギー資源,308.17
12-23-2025,火,平日,t17建設・t17資材,484.55
12-23-2025,火,平日,t17素材・化学,334.27
12-23-2025,火,平日,t17医薬品,295.4
12-23-2025,火,平日,t17自動車・輸送機,392.98
12-23-2025,火,平日,t17鉄鋼・非鉄,513.58
12-23-2025,火,平日,t17機械,821.97
12-23-2025,火,平日,t17電機・精密,488.16
12-23-2025,火,平日,t17情報通信,430.82
12-23-2025,火,平日,t17電力・ガス,109.94
12-23-2025,火,平日,t17運輸物流,222.27
12-23-2025,火,平日,t17商社・卸売,1223
12-23-2025,火,平日,t17小売,396.73
12-23-2025,火,平日,t17銀行,332.03
12-23-2025,火,平日,t17金融（銀行除く）,334.58
12-23-2025,火,平日,t17不動産,549.31
12-23-2025,火,平日,NYダウ始値,48320.59
12-23-2025,火,平日,NYダウ高値,48320.59
12-23-2025,火,平日,NYダウ安値,48254.31
12-23-2025,火,平日,NYダウ終値,48442.41
12-23-2025,火,平日,ナスダック始値,23407.7
12-23-2025,火,平日,ナスダック高値,23563.46
12-23-2025,火,平日,ナスダック安値,23377.49
12-23-2025,火,平日,ナスダック終値,23561.84
12-23-2025,火,平日,S&P500始値,6872.41
12-23-2025,火,平日,S&P500高値,6910.88
12-23-2025,火,平日,S&P500安値,6868.81
12-23-2025,火,平日,S&P500終値,6909.79
12-23-2025,火,平日,ラッセル2000始値,2548.64
12-23-2025,火,平日,ラッセル2000高値,2553.2
12-23-2025,火,平日,ラッセル2000安値,2537.94
12-23-2025,火,平日,ラッセル2000終値,2541.12
12-23-2025,火,平日,SOX始値,7118.39
12-23-2025,火,平日,SOX高値,7186.39
12-23-2025,火,平日,SOX安値,7091.46
12-23-2025,火,平日,SOX終値,7184.54
12-23-2025,火,平日,S&PVIX,14
12-23-2025,火,平日,Fear&Greed,59
12-23-2025,火,平日,S&P金融,922.9
12-23-2025,火,平日,S&Pエネルギー,683.54
12-23-2025,火,平日,S&Pヘルスケア,1809.26
12-23-2025,火,平日,S&P一般消費財,1972.25
12-23-2025,火,平日,S&P産業,1329.78
12-23-2025,火,平日,S&P公益,433.13
12-23-2025,火,平日,S&P生活必需品,864.29
12-23-2025,火,平日,S&P情報通信,5749.68
12-23-2025,火,平日,S&P通信,453.42
12-23-2025,火,平日,S&P素材,580.48
12-23-2025,火,平日,S&P不動産,254.56
12-23-2025,火,平日,M7時価総額,21.7216
12-23-2025,火,平日,アークETF,80.51
12-23-2025,火,平日,アップル,272.36
12-23-2025,火,平日,マイクロソフト,486.85
12-23-2025,火,平日,グーグル,315.68
12-23-2025,火,平日,アマゾン,232.14
12-23-2025,火,平日,エヌビディア,189.21
12-23-2025,火,平日,メタ,664.94
12-23-2025,火,平日,テスラ,485.56
12-23-2025,火,平日,韓国総合,4117.32
12-23-2025,火,平日,香港ハンセン,25774.14
12-23-2025,火,平日,上海総合,3919.98
12-23-2025,火,平日,台湾加権,28310.47
12-23-2025,火,平日,ジャカルタ総合,8584.78
12-23-2025,火,平日,タイSET,1271.11
12-23-2025,火,平日,ベトナムハノイ30,2012.87
12-23-2025,火,平日,インドSENSEX30,85524.84
12-23-2025,火,平日,ブラジルボベスパ,160456
12-23-2025,火,平日,MSCIエマージング,1387.13
12-23-2025,火,平日,DAX,24340.06
12-23-2025,火,平日,仏CAC40,8103.85
12-23-2025,火,平日,イタリア40,44606.58
12-23-2025,火,平日,FTSE100,9889.22
12-23-2025,火,平日,ユーロストックス50,5751.66
12-23-2025,火,平日,オルカンeMAXIS全世界株式,33254
12-23-2025,火,平日,日2年債,1.088
12-23-2025,火,平日,日5年債,1.479
12-23-2025,火,平日,日10年債前日終値,2.074
12-23-2025,火,平日,日10年債高値,2.062
12-23-2025,火,平日,日10年債安値,2.029
12-23-2025,火,平日,日10年債,2.029
12-23-2025,火,平日,日20年債,2.976
12-23-2025,火,平日,日30年債,3.433
12-23-2025,火,平日,日40年債,3.691
12-23-2025,火,平日,米2年債,3.534
12-23-2025,火,平日,米5年債,3.737
12-23-2025,火,平日,米10年債前日終値,4.169
12-23-2025,火,平日,米10年債高値,4.204
12-23-2025,火,平日,米10年債安値,4.138
12-23-2025,火,平日,米10年債,4.165
12-23-2025,火,平日,英10年債,4.514
12-23-2025,火,平日,独10年債,2.8647
12-23-2025,火,平日,中10年債,1.829
12-23-2025,火,平日,ゴールド,4514.4
12-23-2025,火,平日,銅,5.5598
12-23-2025,火,平日,原油WTI,58.48
12-23-2025,火,平日,天然ガス,4.409
12-23-2025,火,平日,米国小麦,517.75
12-23-2025,火,平日,バルチック海運,1979
12-23-2025,火,平日,ドル円前日終値,156.22
12-23-2025,火,平日,ドル円高値,156.26
12-23-2025,火,平日,ドル円安値,156.2
